pair,base,quote,state,tags,last_updated
chousdt,cho,usdt,online,st,2025-11-01 18:42:27
sbdusdt,sbd,usdt,online,st,2025-11-01 18:42:27
billyusdt,billy,usdt,offline,st,2025-11-01 18:42:27
linausdt,lina,usdt,offline,st,2025-11-01 18:42:27
wsmusdt,wsm,usdt,offline,st,2025-11-01 18:42:27
xprtusdt,xprt,usdt,online,st,2025-11-01 18:42:27
motherusdt,mother,usdt,offline,st,2025-11-01 18:42:27
omgusdt,omg,usdt,online,st,2025-11-01 18:42:27
anonusdt,anon,usdt,offline,st,2025-11-01 18:42:27
tntbtc,tnt,btc,offline,st,2025-11-01 18:42:27
toxusdt,tox,usdt,offline,st,2025-11-01 18:42:27
pbuxusdt,pbux,usdt,online,st,2025-11-01 18:42:27
gmeeusdt,gmee,usdt,offline,st,2025-11-01 18:42:27
mdxusdt,mdx,usdt,offline,st,2025-11-01 18:42:27
sfiusdt,sfi,usdt,offline,st,2025-11-01 18:42:27
pizzausdt,pizza,usdt,offline,st,2025-11-01 18:42:27
trempusdt,tremp,usdt,offline,st,2025-11-01 18:42:27
dckusdt,dck,usdt,online,st,2025-11-01 18:42:27
snceth,snc,eth,online,st,2025-11-01 18:42:27
whalesusdt,whales,usdt,offline,st,2025-11-01 18:42:27
punduusdt,pundu,usdt,offline,st,2025-11-01 18:42:27
pewusdt,pew,usdt,offline,st,2025-11-01 18:42:27
phxbtc,phx,btc,offline,st,2025-11-01 18:42:27
trollusdt,troll,usdt,offline,st,2025-11-01 18:42:27
msnusdt,msn,usdt,offline,st,2025-11-01 18:42:27
evmosusdt,evmos,usdt,offline,st,2025-11-01 18:42:27
amuusdt,amu,usdt,offline,st,2025-11-01 18:42:27
rtfusdt,rtf,usdt,offline,st,2025-11-01 18:42:27
zlabtc,zla,btc,offline,st,2025-11-01 18:42:27
gariusdt,gari,usdt,offline,st,2025-11-01 18:42:27
kaonusdt,kaon,usdt,offline,"st,activities",2025-11-01 18:42:27
h2ousdt,h2o,usdt,offline,"st,abnormalmarket",2025-11-01 18:42:27
grokcoinusdt,grokcoin,usdt,offline,st,2025-11-01 18:42:27
hecusdt,hec,usdt,offline,st,2025-11-01 18:42:27
xenousdt,xeno,usdt,offline,st,2025-11-01 18:42:27
zkpusdt,zkp,usdt,online,st,2025-11-01 18:42:27
wnxmusdt,wnxm,usdt,offline,st,2025-11-01 18:42:27
poolxusdt,poolx,usdt,offline,st,2025-11-01 18:42:27
ergusdt,erg,usdt,offline,st,2025-11-01 18:42:27
zkfusdt,zkf,usdt,offline,st,2025-11-01 18:42:27
asteth,ast,eth,offline,st,2025-11-01 18:42:27
pumpoldusdt,pumpold,usdt,offline,st,2025-11-01 18:42:27
dypusdt,dyp,usdt,online,st,2025-11-01 18:42:27
vicusdt,vic,usdt,online,st,2025-11-01 18:42:27
rdneth,rdn,eth,offline,st,2025-11-01 18:42:27
wlknusdt,wlkn,usdt,offline,st,2025-11-01 18:42:27
rocousdt,roco,usdt,offline,st,2025-11-01 18:42:27
xenusdt,xen,usdt,offline,st,2025-11-01 18:42:27
mtlusdt,mtl,usdt,online,st,2025-11-01 18:42:27
miceusdt,mice,usdt,offline,st,2025-11-01 18:42:27
fofarusdt,fofar,usdt,offline,"st,abnormalmarket",2025-11-01 18:42:27
